Annotation,Word,definitions,BM_original,Source,VVAA,A1,A2,precission_definitions_mean,ic_precission_definitions_mean,familiarity_definitions_mean,imageability_definitions_mean,concreteness_definitions_mean,physicality_definitions_mean,nb17_cosines_definitions_mean,w2v_cosines_definitions_mean
guided,track,a distinct selection of music from a recording or a compact disc,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,0,0,6.7,1.11,524.67,5.38,3.39,2.62,0.1447475976,0.1176098045
guided,track,an endless metal belt on which tracked vehicles move over the ground,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,2.7,0.4,500.71,4.27,3.88,2.64,0.1773100628,0.1532798598
guided,track,(computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,5,0.57,439.27,5.04,3.87,3.02,0.1141572724,0.1213214748
guided,track,a groove on a phonograph recording,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,7.17,2.21,557.67,5.93,4.02,3.13,0.2855829249,0.2202358097
guided,track,a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,5.56,1.77,471.85,5.11,4.05,2.87,0.1539215915,0.1587045852
guided,track,any road or path affording passage especially a rough one,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,3.8,0.84,506.71,5.19,3.67,3.48,0.1671776148,0.1713393416
guided,track,the act of participating in an athletic competition involving running on a track,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,1,1,1,4.9,2.35,456.14,4.4,3.52,2.65,0.1079787376,0.1497745241
guided,track,carry on the feet and deposit,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,4,0,501,4.89,4.29,3.13,0.05310092727,0.07418398062
guided,track,observe or plot the moving path of something,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,3.8,0,544.2,4.44,3.16,2.97,0.1537656065,0.1569045208
guided,track,go after with the intent to catch,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,1,1,3.5,0,399.67,4.33,2.93,2.58,0.09382737987,0.1499099918
guided,track,travel across or pass over,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,0,,2.4,1.85,419.5,5.47,3.37,3.55,0.1562994321,0.05987589185
guided,track,make tracks upon,rough and unpaved road or path. There is some direction for people to follow.,https://doi.org/10.5539/ells.v10n3p64,0,0,1,1.5,6.9,393.33,6,3.27,2.9,0.02543300076,0.0767582776
guided,open,a clear or unobstructed space or expanse of land or water,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,1,1,6.3,1.85,480.17,5.31,3.68,2.75,0.2030582347,0.1969151845
guided,open,where the air is unconfined,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,1,1,1,1.67,4.94,387.5,4.55,3.54,4.1,0.2050929219,0.1707828045
guided,open,a tournament in which both professionals and amateurs may play,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,1,1,6,1.63,426,4.82,3.45,2.49,0.06523758646,0.08190642893
guided,open,information that has become public,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,3,0.6,570.67,5.45,2.33,2.42,0.1509535325,0.1573368286
guided,open,cause to open or to become open,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,,4,0,520,5.57,2.6,2.81,0.08988779411,0.07687561586
guided,open,start to operate or function or cause to start operating or functioning,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,3.9,0,521.14,5.31,2.7,3.36,0.169303563,0.1687468945
guided,open,become open,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,,3,0,557.5,6.47,2.38,3.1,0.1061021388,0.105888553
guided,open,"begin or set in action, of meetings, speeches, recitals, etc.","opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,4.75,0,499,5.23,3.1,3.07,0.08171186064,0.1165451434
guided,open,spread out or open from a closed or folded state,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,1,1,4.62,5.43,496.8,4.45,3.58,2.39,0.2511012728,0.244354343
guided,open,make available,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,1,0,429,5.04,2.39,3.13,0.2013779394,0.244465068
guided,open,become available,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,1.5,0,508.5,5.1,1.82,3.04,0.2007872015,0.190728981
guided,open,have an opening or passage or outlet,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,1,1,5.43,4.21,584.67,5.09,3.97,2.77,0.3107392713,0.2480788535
guided,open,make the opening move,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,,4.33,7.5,482.33,5.47,3.24,2.45,0.3038243676,0.3177792033
guided,open,afford access to,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,,0.5,3.62,430,4.99,2.27,3.15,0.224921234,0.1621703021
guided,open,display the contents of a file or start an application as on a computer,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,,1,6.42,0,477.8,5.14,3.86,3.11,0.1326581471,0.1215481283
guided,open,affording unobstructed entrance and exit; not shut or closed,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,1,1,2.5,,516,5.2,3.53,3.5,0.352524293,0.3082789717
guided,open,affording free passage or access,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,1,1,3.8,,538.25,4.5,2.85,3.57,0.1833179947,0.1770323501
guided,open,with no protection or shield,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,,1,4.5,,545.5,4.74,3.58,2.45,-0.0255570095,0.05204200186
guided,open,open to or in view of all,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,,1,4,,519.5,5.09,3.21,3.29,0.1088377684,0.1215913966
guided,open,used of mouth or eyes,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,,1,5.5,,462.67,3.46,4.09,2.85,0.1356939152,0.140559425
guided,open,not having been filled,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,,1,1,,451,4.44,3.03,2.7,0.1882463992,0.2419110388
guided,open,accessible to all,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,,,0,,424,3.68,1.8,1.73,0.3507958353,0.3654527962
guided,open,not defended or capable of being defended,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,1,0,0,3.5,,524.33,5.6,2.21,1.97,0.07167366892,0.0763124004
guided,open,(of textures) full of small openings or gaps,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,1,1,4.67,,465.67,5.04,3.61,3.23,0.2297773778,0.1902676884
guided,open,having no protecting cover or enclosure,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,,1,2.83,,538.33,4.84,3.44,3.24,0.05715687138,0.108669507
guided,open,(set theory) of an interval that contains neither of its endpoints,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,5.62,,459,4.7,2.27,3.68,0.05651554155,0.08659104409
guided,open,not brought to a conclusion; subject to further thought,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,2.86,,514.6,5,2.36,3.46,0.04756045248,0.08000615612
guided,open,not sealed or having been unsealed,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,1,1,1.5,,505,4.67,3.53,3.1,0.4750853628,0.234263368
guided,open,without undue constriction as from e.g. tenseness or inhibition,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,6.17,,434.43,4.98,2.22,2.91,0.02436357178,0.01280073337
guided,open,ready or willing to receive favorably,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,2.8,,523,5.95,2.13,2.9,0.08851449878,0.1538173389
guided,open,open and observable; not secret or hidden,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,1,1.8,,539.2,4,2.68,3.62,0.09802486748,0.1291583094
guided,open,not requiring union membership,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,3.75,,489.33,5.1,3.21,3.15,0.01811604326,0.09014853773
guided,open,possibly accepting or permitting,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,2.25,,422.67,5.39,1.74,2.53,0.1165772614,0.165378044
guided,open,affording free passage or view,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,,1,5,,513,3.91,3.02,3.31,0.1356504057,0.1492486526
guided,open,openly straightforward and direct without reserve or secretiveness,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,0,0,0,3.5,,527.83,4.81,1.96,2.84,0.1212359096,0.1149507165
guided,open,ready for business,"opening something closed or blocked, such as a blocked path",http://dx.doi.org/doi:10.1080/10926488.2014.859048,1,0,0,4,,562,4.84,2.68,3.05,0.09813562594,0.1514212191
guided,bridge,a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,1,1,6,1.06,486.82,5.14,4.45,2.69,0.2177483581,0.2483403499
guided,bridge,a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,1,1,5.71,0.78,496.21,5.14,3.97,3.27,0.06358257027,0.09500384121
guided,bridge,something resembling a bridge in form or function,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,0,0,5.5,2.02,486.6,4.5,2.96,3.62,0.009188042415,0.06781404291
guided,bridge,the hard ridge that forms the upper part of the nose,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,1,1,5.17,0.8,492.5,3.58,3.82,2.64,0.09890054011,0.09741040389
guided,bridge,any of various card games based on whist for four players,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,0,0,3.44,1.85,479.71,4.21,3.52,3.03,0.0791584876,0.08522026294
guided,bridge,a wooden support that holds the strings up,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,1,1,4,1.04,545.5,5.04,3.97,2.35,0.09732914902,0.1058856659
guided,bridge,a denture anchored to teeth on either side of missing teeth,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,1,1,4.56,2.8,524.57,5.06,3.77,2.35,0.119403382,0.1265605805
guided,bridge,the link between two lenses; rests on the nose,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,1,1,4.29,1.42,526,4.95,4.28,3.34,0.09797755852,0.1535916984
guided,bridge,an upper deck where a ship is steered and the captain stands,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,1,1,5.44,1.2,423.5,4.68,4.27,3.53,0.1576944534,0.1335147799
guided,bridge,connect or reduce the distance between,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,0,0,4,0,502,4.44,2.68,2.86,0.1268537578,0.1619449779
guided,bridge,make a bridge across,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,1,1,4,0,407,5.86,3.57,4.21,0.1227434035,0.1318351254
guided,bridge,cross over on a bridge,"structure crossing a gap, road or river",http://dx.doi.org/doi:10.1080/10926488.2014.859049,0,1,1,3.25,0,484.5,5.52,4.7,4.03,0.2910985053,0.2511331141
guided,crooked,bend or cause to bend,"The adjective 'crooked' means not a straight line; bent or twisted; for example: """"""""""""""""a village of crooked streets""""""""""""""""",DOI:10.25130/jtuh.28.3.4.2021.23,0,1,1,3.5,4.04,462.33,5.62,3.4,2.39,0.2614083911,0.2230813416
guided,crooked,having or marked by bends or angles; not straight or aligned,"The adjective 'crooked' means not a straight line; bent or twisted; for example: """"""""""""""""a village of crooked streets""""""""""""""""",DOI:10.25130/jtuh.28.3.4.2021.23,1,1,1,4.18,,474.2,4.2,3.51,2.86,0.2496400908,0.1816714764
guided,crooked,not straight; dishonest or immoral or evasive,"The adjective 'crooked' means not a straight line; bent or twisted; for example: """"""""""""""""a village of crooked streets""""""""""""""""",DOI:10.25130/jtuh.28.3.4.2021.23,0,0,0,3.29,,589.2,3.6,2.05,3.11,0.2996937223,0.2953983173
guided,crooked,irregular in shape or outline,"The adjective 'crooked' means not a straight line; bent or twisted; for example: """"""""""""""""a village of crooked streets""""""""""""""""",DOI:10.25130/jtuh.28.3.4.2021.23,0,1,1,3.8,,553,5.62,3.06,2.71,0.159289365,0.2063362276
guided,crooked,having the back and shoulders rounded; not erect,"The adjective 'crooked' means not a straight line; bent or twisted; for example: """"""""""""""""a village of crooked streets""""""""""""""""",DOI:10.25130/jtuh.28.3.4.2021.23,0,1,1,2.17,,496.75,3.47,3.86,3.22,0.1382908802,0.1538265217
guided,straight,a heterosexual person; someone having a sexual orientation to persons of the opposite sex,"free from curves, bends, angles, or irregularities or that thing that is generated by a point moving continuously in the same direction and expressed by a linear equation",DOI:10.25130/jtuh.28.3.4.2021.24,0,0,0,5.36,1.53,510.67,5.17,3.37,3.87,0.1280850815,0.1062033894
